"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2163","Create course","LMS system","Sun Dec 07 09:43:16 UTC 2025","passed","Sun Dec 07 09:43:18 UTC 2025","Courses","Courses","",""
"","1329","User login with wrong email or password","LMS system","Sun Dec 07 09:43:11 UTC 2025","passed","Sun Dec 07 09:43:12 UTC 2025","Authorization","Authentication","",""
"","1488","Registration with correct email, username and password","LMS system","Sun Dec 07 09:43:12 UTC 2025","passed","Sun Dec 07 09:43:14 UTC 2025","Registration","Authentication","",""
"","1573","User login with wrong email or password","LMS system","Sun Dec 07 09:43:10 UTC 2025","passed","Sun Dec 07 09:43:11 UTC 2025","Authorization","Authentication","",""
"","1680","User login with wrong email or password","LMS system","Sun Dec 07 09:43:08 UTC 2025","passed","Sun Dec 07 09:43:09 UTC 2025","Authorization","Authentication","",""
"","1201","Navigation from login page to registration page","LMS system","Sun Dec 07 09:43:12 UTC 2025","passed","Sun Dec 07 09:43:13 UTC 2025","Authorization","Authentication","",""
"","2584","Edit course","LMS system","Sun Dec 07 09:43:16 UTC 2025","passed","Sun Dec 07 09:43:19 UTC 2025","Courses","Courses","",""
"","1631","Check displaying of dashboard page","LMS system","Sun Dec 07 09:43:18 UTC 2025","passed","Sun Dec 07 09:43:20 UTC 2025","Dashboard","Dashboard","",""
"","2958","User login with correct email and password","LMS system","Sun Dec 07 09:43:08 UTC 2025","passed","Sun Dec 07 09:43:11 UTC 2025","Authorization","Authentication","",""
"","1293","Check displaying of empty courses list","LMS system","Sun Dec 07 09:43:14 UTC 2025","passed","Sun Dec 07 09:43:16 UTC 2025","Courses","Courses","",""
